Rank,Story,Tier,Score,Affirm,Emotion,Enjoy,Audio,Craft,Words,~Mins,Date,Source chat,Reviewed,In archive?,Notes
28,"Felix, Alex, and the Venom Dragon of Minecdraft",A,4.20,4,4,5,4,4,1897,14,2026-05-17,(untitled chat),✓,Yes,Felix's own pitch. 'The right amount.' High enjoyment.
29,The Sky Runner's Discovery,B,4.13,5,3.53,3.2,5,3.56,1727,13,2025-12-18,The crystal garden discovery,auto,Yes,
30,When Only the Birds Could Help,B,4.10,4,4,4,5,4,1628,12,2025-12-18,The crystal garden discovery,✓,Yes,Crystal cluster. Solid.
31,The Gentle Giant's Problem,B,4.10,4,4,4,5,4,1482,11,2025-12-18,The crystal garden discovery,✓,Yes,Crystal cluster. Warm; gentle-giant sadness.
32,The Crystal Garden Discovery,B,4.02,5,2.48,3.2,5,4.23,1349,10,2025-12-18,The crystal garden discovery,auto,Yes,
33,The Day Violet's Magic Disappeared,B,4.00,4,4,4,4,4,1519,11,2025-12-18,The crystal garden discovery,✓,Yes,Crystal cluster. Good but overlaps with 'Magic Went Silent'.
34,The Day Magic Went Silent,B,4.00,4,4,4,4,4,2043,15,2025-12-18,The crystal garden discovery,✓,Yes,"Strong of the crystal cluster. Several siblings repeat the same beat — pick 1-2, not all."
35,The Cousins and the Colour Thief,B,4.00,4,4,4,4,4,1952,14,2026-05-10,"Felix, Alex, Elfine, and Marion's new adventure",✓,Yes,Child inventor aimed wrong. Larger cast.
36,Davy Jones and the Curse of the Locker,B,4.00,4,4,4,4,4,1304,10,2026-05-31,Felix and Alex break Davy Jones' curse,✓,Yes,"Stand-off beat, Thursday redemption. Fun and warm."
37,The Crystal Maze Mystery,B,3.98,5,2.22,3.2,5,4.33,1380,10,2025-12-18,The crystal garden discovery,auto,Yes,
38,TRIO FORCE CASE FILE #33,B,3.98,4.92,3.58,3.2,4,3.36,2316,17,2026-06-10,Cloned heroes versus multipowered villain,auto,Yes,
39,Alex and the Harmony Stones,B,3.96,5,2.36,3.2,5,3.96,1472,11,2025-12-18,Alex's countryside bicycle adventure with harmony stones,auto,Yes,
40,The Great Storm Rescue,B,3.91,5,2.66,3.2,5,3.26,602,4,2026-01-27,The great storm rescue,auto,Yes,
41,The Five and the Missing Christmas Pudding,B,3.90,3,4,4,5,5,1728,13,2026-02-14,The Famous Five and Mean Santa mystery,✓,Yes,"Enid-Blyton-flavoured. Fun seasonal mystery, lighter affirmation."
42,The Five and the Magic Mirror in the Woods,B,3.87,4,3.14,3.2,5,4.7,701,5,2026-02-14,The Famous Five and Mean Santa mystery,auto,Yes,
43,The Crystal Singers of Whispering Woods,B,3.85,4,4,4,4,3,1327,10,2025-12-18,Felix and the crystal singers,✓,Yes,Crystal cluster origin. Cast can crowd.
44,Trio Force Case File #31: The Mixed-Up Morning,B,3.83,3.04,4.44,3.2,5,4.94,1029,8,2026-05-12,Three kids with magical puzzle-solving powers,auto,Yes,
45,The Silly Spell Mix-Up,B,3.81,5,3.03,3.2,2.5,3.79,246,2,2026-01-20,Story about Felix's joy with his cousins and Peter,auto,Yes,
46,The Box That Came on a Tuesday,B,3.80,4,3,4,4,4,1286,10,2026-06-04,Powers that malfunction at awkward times,✓,Yes,Powers misfire at awkward (not tense) moments. Gentle.
47,Winchester and the Villainette,B,3.80,3.75,3.29,3.2,5,4.58,1399,10,2026-06-19,Winchester the teddy bear and laser tag guns,auto,Yes,
48,The Metal Singers,B,3.79,5,1.8,3.2,5,3.61,1881,14,2025-12-18,The crystal garden discovery,auto,Yes,
49,The Iron Forest,B,3.70,4.25,1.84,3.2,5,4.68,1454,11,2026-06-19,Winchester the teddy bear and laser tag guns,auto,Yes,
50,The Time-Keeper's Garden,B,3.67,5,2.24,3.2,5,2.2,1211,9,2025-12-18,Felix and the crystal singers,auto,Yes,
51,Alex's Giggle Garden,B,3.65,4,4,4,2,3,232,2,2026-01-20,Story about Felix's joy with his cousins and Peter,✓,Yes,Short voice-mode; emotion-focused. Slight.
52,"Sergeant Sticky Pants and the Terrible, Wonderful, Very Sticky Problem",B,3.65,3,3,5,4,4,1617,12,2026-06-05,Sergeant Sticky Pants' next adventure,✓,Yes,"Very silly, high fun, lighter affirmation. Comic palate-cleanser."
53,Trio Force: Case File #33 — The Wishing Pest,B,3.62,2.51,4.66,3.2,5,4.46,1391,10,2026-05-13,"Monkey's paw powers for Alex, Felix, and Amelia",auto,Yes,
54,The Storm Crystal's Secret,B,3.61,5,1.94,3.2,5,2.2,1065,8,2025-12-18,Felix and the crystal singers,auto,Yes,
55,Felix and Alex Join the 7 Club,C,3.60,5,1,3.2,4.6,3.66,744,6,2026-01-21,Felix and Alex join the 7 Club,auto,No,
56,The Five and the Secret Garden Party,C,3.58,4.07,1.49,3.2,5,4.8,1026,8,2026-02-14,The Famous Five and Mean Santa mystery,auto,No,
57,The Bramble Wall — Part Two,C,3.56,5,2.56,3.2,2.5,2.7,320,2,2026-05-06,Three-person superhero team adventures,auto,No,
58,TRIO FORCE: CASE FILE #34,C,3.50,3.25,4.11,3.2,3.4,3.76,1863,14,2026-04-23,Felix and Amelia save Halloween from the troll,auto,No,
59,The Mystery of Bramble Hollow,C,3.46,3.04,2.67,3.2,5,4.83,1714,13,2025-12-16,Felix and Alex's adventure group,auto,No,
60,Trio Force Case File #32: The Cloud Collector,C,3.45,3.18,2.39,3.2,5,4.79,1124,8,2026-05-12,Three kids with magical puzzle-solving powers,auto,No,
61,The Five Adventurers and the Mystery of Mean Santa,C,3.45,3,3,4,4,4,1326,10,2026-02-14,The Famous Five and Mean Santa mystery,✓,No,Seasonal. Mean-Santa-is-sad. Confirm on read.
62,The Colour Thief of Chalk Hill,C,3.43,3.53,1.6,3.2,5,4.89,1661,12,2026-06-19,Winchester the teddy bear and laser tag guns,auto,No,
63,The Seven Club Powers,C,3.40,5,1,3.2,2.5,3.7,251,2,2026-01-21,(untitled chat),auto,No,
64,Felix and the Minecraft Portal,C,3.37,3.39,3.28,3.2,4,3.25,439,3,2026-05-17,Clarifying who Felix is,auto,No,
65,The Strength Situation,C,3.31,2.59,3.25,3.2,5,4.09,1987,15,2026-05-10,"Felix, Alex, Elfine, and Marion's new adventure",auto,No,
66,The Super Skateboard,C,3.30,4,3,4,2,2,242,2,2026-01-20,Story about Felix's joy with his cousins and Peter,✓,No,Very short voice-mode. Sweet but slight.
67,Felix Learns About Feelings,C,3.30,4,4,3,2,2,298,2,2026-01-20,Story about Felix's joy with his cousins and Peter,✓,No,Short; explicit feelings-teaching. Slight but on-theme.
68,Manny's Magic Surprise,C,3.25,4.45,1,3.2,2.5,4,203,2,2026-01-21,(untitled chat),auto,No,
69,The Quantum Badge,C,3.25,2.74,2.42,3.2,5,4.42,1411,10,2026-05-16,Finding the right used electric car,auto,No,
70,The 10 Magic Powers Adventure,C,3.24,2.58,5,3.2,2.5,3,222,2,2026-01-21,(untitled chat),auto,No,
71,The Bramble Wall,C,3.21,2.97,1.85,3.2,5,4.4,1774,13,2026-05-06,Three-person superhero team adventures,auto,No,
72,The Great Pudding Catastrophe,C,3.21,3.4,1.23,3.2,4,4.88,2189,16,2025-12-16,Felix and Alex's adventure group,auto,No,
73,The Magical Attic Discovery,C,3.18,3.47,2.5,3.2,5,2.2,992,7,2025-12-18,Felix and the crystal singers,auto,No,
74,Trio Force: Case File #34 — The Thing That Walks Backwards,C,3.18,2.21,2.65,3.2,5,4.88,1741,13,2026-05-13,"Monkey's paw powers for Alex, Felix, and Amelia",auto,No,
75,The Forest That Keeps Secrets,C,3.12,2.68,1.8,3.2,5,4.54,1875,14,2026-05-06,Three-person superhero team adventures,auto,No,
76,The Bridge That Went Somewhere Else,C,3.04,3.51,1,3.2,4,3.83,557,4,2026-05-10,"Felix, Alex, Elfine, and Marion's new adventure",auto,No,
77,The Day There Were Too Many Alexes,C,3.02,2.51,1.86,3.2,5,4.19,1159,9,2026-06-05,Sergeant Sticky Pants' next adventure,auto,No,
78,The Bramble Wall — Part Three,D,2.99,2.58,1.32,3.2,5,4.54,1548,11,2026-05-06,Three-person superhero team adventures,auto,No,
79,The Shoemaker at the Edge of the Hedge,D,2.84,2.39,2.59,3.2,2.5,3.95,2760,20,2026-02-22,Alex and Felix's magical adventure,auto,No,
80,The Treasure of Rosemary Lane,D,2.73,2.09,2.89,3.2,2.5,3.56,2567,19,2025-12-16,Felix and Alex's adventure group,auto,No,
81,The 7 Cool Powers,D,2.30,2,2,3,3,2,197,1,2026-01-21,(untitled chat),✓,No,Voice-mode fragment. Skip.
82,The Silly Magic Mix-Up,D,2.30,2,2,3,3,2,266,2,2026-01-21,(untitled chat),✓,No,Voice-mode fragment. Skip.
83,The Secret 7 Club,D,2.30,2,2,3,3,2,252,2,2026-01-21,(untitled chat),✓,No,Voice-mode fragment. Skip.
84,The 6 Powers Mystery,D,2.30,2,2,3,3,2,206,2,2026-01-21,(untitled chat),✓,No,Voice-mode fragment. Skip.
85,The 7 Club Powers—Round Two!,D,2.30,2,2,3,3,2,223,2,2026-01-21,(untitled chat),✓,No,Voice-mode fragment. Thin. Skip/rewrite.
